segment_id,t_start,t_end,dur_s,whisper_fr,xlsr_fr,whisper_en_per_seg,whisper_en_cont,xlsr_en
seg_0001,0.0,2026-02-04 00:00:00,2026-02-04 00:00:00,mais je reviens sur ce problème qui est un problème d'être chez moi.,mais je reviens sur cet ce problème qui y a un problème voilà de detes chez moi,"but I come back to this problem, which is a problem of being at home.","But I come back to this problem, which is a problem. To be at home, how many times has it happened to me?","But I am back with this problem, which has a problem, that debts to me as my wife, when I’m married to my husband, who is my wife’s mai maid-to me when I am a mai mai mai Mai mai mai...... from my Goddess at my husband’s wife, who pays my debt to me, if I have a debt of debt to my debt at my debts, my wife...... my... my lady... in my debt... from my... when I... when when I have debt debt to myself, when... when... When I’d... when God God God... Am I... Who... If... When... When God... Is my God... My... At my... From my... As... A... Do I... To... In my own... From... A mai... A debt to...... When When...... My God... Who, Who... When, When... Who Who... Is... When- When... God God- Who... Of God God? Who...... Who who...... Is a debt-......... To me... When — When... If God... When Where... When Pay... When Me... When Who... Who God...... God... God-... When My... Whenme Who... For... Who? When... Are I... Whence God... The... Who- Who Who Who?...... A God... A Deb... When when... Who May... When... When... My Who... God?... Who whom... Who Is...... Since God God?” When... Is God God Bet... When? Who Who God? When God God Who Who Is God? God...... Who... Du...... With God... By God God, Who Who, God God Is... Who My... Who! Who...... God... ”... Who whose God... That... Who O......... A...... And... Who... God God I... God Who... Oh...... What......? God God... Who Who who Who... Who... I...... Was...... Be God... From God God”? Who... A Who... As God... Does...... If Who...?... God... When God? A... Who No...... How...... I Who... Whether Who... Co...... “...... Do God...? Who God God Only...... On God God My Who Who My God Goddes God... At God... Me...... At... Who When............ As"
seg_0002,2026-04-04 00:00:00,2026-01-06 00:00:00,2026-07-01 00:00:00,Combien de fois ça m'est arrivé ?,une fais some ariver bon,Once it happened to me.,"To be at home, how many times has it happened to me? Well, you go to Boulevard Voltaire, it's not far.","Well, I guess it’s time. Well, that’s how it happened to be."
seg_0003,2026-01-06 00:00:00,8.18,2026-08-02 00:00:00,"Bon, là, tu vas boulevard Voltaire, c'est pas loin.",la tu vas boulevard volter c'est pas noin,"You go to Boulevard Voltaire, it's not far away.","Well, you go to Boulevard Voltaire, it's not far.","You are going to the Altar-Altar and far there there, it’s not far from Alta Alta Alta Overltthertherther there there There goes to the Voltherther... And then go to the Welter-oltherther over the Alta Alta Here there."
seg_0004,2026-06-09 00:00:00,10.54,1.48,"J'y vais à pied, je suis chez moi.",y vais à pied je suis chez moi,"I go on foot, I'm at home.","I go on foot, I'm at home.","I’m going walking walking, I am at my husband’s house when I’ll go to my friend’s home."
seg_0005,10.64,13.46,2.82,Je me conditionne dans mon appartement en me disant,je me conditione dans mon apartement en dix ant,I feel like I'm in my apartment saying...,"I get into my apartment saying,",I’m conditioning myself in my apartment when I say...
seg_0006,13.46,14.44,0.98,j'y vais à pied.,j'y vais à pied,I'm going to walk.,"I'm going on foot, my car is parked in the street,",I’m walking there.
seg_0007,14.68,16.32,1.64,"Moi, ma voiture, elle est garée dans la rue.",ma voiture eles garide dans la rue,My car is parked in the street.,"I'm going on foot, my car is parked in the street,","my car, my car and the street’s cars and the road’s in the street."
seg_0008,2026-05-16 00:00:00,17.68,1.18,J'ai un stationnement résident.,stationement résident,Residence,I have a residential parking lot.,Residential resident.
seg_0009,2026-05-18 00:00:00,19.34,0.84,Je passe devant.,je pase de vent,I go ahead.,"I go in front, I can't help opening the door,",I’m going to go ahead.
seg_0010,19.52,22.94,3.42,"Je ne peux pas m'empêcher d'ouvrir la porte, de monter dedans",e ne peux pas mempêcher douvrir la porte de monter dedans el,I can't help opening the door and getting in.,"I go in front, I can't help opening the door, to get in and go five minutes by car,","I couldn’t I I can I I I beg myself to open the door, to put the door up, and hold my tessing, and I’m in there, and she’s holding her door, and, and... and I am going to throw out the door. And, and as she is standing in her arms, and that I am holding her to her, and and I have the door and she is inside, and if I am tossing her with, and to throw her out, and all she has, and so I am in, and — and I, I am wearing, and l, I, and et, I have, I’ I I,and I, as I am standing, and when I am at, and my door, I and, I I am, and do I, while I, to, andI, I always, I... and, as, I want to open, and opening the door... and to, I cant, I keep my tossing my door and I, and the, and it, I — and, to I, all, and w, and from, I she, and they, and thu, and in, I-and, and this, and i, and d, I can, I tell I, that I, even I, & I, l, and am, I Et, and é, I think I, my, andsi, Iaring, and le, I height, and... I, AND I, qui, I、 I, ” I, Eiffel, and mai, I Ai, andAi, I don I, And, I hat I, if I, ir, I lift I, É, I wa, I feel I, putting my, I look, I go, I love, I do I I... I I — I,I, and then, I still, I put my, my — I am I, she, I start I, Is, I exit, I pour, I throw my, l I, the doordoor, I c I,And I, и, and throw my I, with, I。 I, al, I give I, in, my I am and I...... I, but I, too, I really, I cannot, I lead, I touch I, am I I throw I, If I, though, I wear, I hung I I and I I do, I? I I she I,"
seg_0011,23.46,2026-07-26 00:00:00,3.24,"et d'aller à cinq minutes en voiture,",eh daleze a voilà cinq minutes en voiture,and go to 5 minutes by car.,"to get in and go five minutes by car,",And to go at... that’s five minutes by car.
seg_0012,26.76,29.24,2.48,ce qui me mettrait peut-être un petit quart d'heure à pied.,qui me metrait pet-être un petit carder à pied,which would probably take me a quarter of an hour.,which would take me maybe a quarter of an hour by foot.,"Maybe he would give me a little piece of paper paper paper, which could I have a small card card at a who who who can put a little a quarter quart on foot."
seg_0013,29.24,31.36,2026-12-02 00:00:00,"Donc au dernier moment, je prends ma voiture.",donc au dernier moment je prends ma voiture,So at the last moment I take my car,"So at the last minute, I take my car.","So, at the last moment, I’m taking my car."
