ID,Speaker,Type,Citation contexte (FR),Référence trad. CALQUE (EN),Référence trad. IDIOMATIC (EN),whisper_fr,xlsr_fr,whisper_en_per_seg,whisper_en_cont,xlsr_en,n_segs,segments,audio_start_s
L01,spk1,gauche,moi ma voiture elle est garée dans la rue,me my car it is parked in the street,my car is parked in the street,"Moi, ma voiture, elle est garée dans la rue.",ma voiture eles garide dans la rue,My car is parked in the street.,my car is parked in the street,"my car, my car and the street’s cars and the road’s in the street.",1,seg_0007,14.68
L02,spk2,gauche,le deux-roues ça ne vous déplairait pas,a two-wheeler that would not displease you,would you not mind a two-wheeler,"Le deux routes, vous ne déplérez pas ?",e de routeça vous déplairait pas,You won't dislike the two roads.,"And the two routes, you won't dislike?",The two roads will not displease you.,1,seg_0047,138.62
L03,spk1,gauche,puisque moi voilà je peux me dire mais je viens te chercher,because me I can say to myself but I will come pick you up,because I can say to myself but I will come pick you up,"puisque je peux me dire, mais je viens de chercher",puisque mo volà je peux me dire je vienes de chercher ,Because I can tell myself... ,"Because I can tell myself, but I just got here, you're late, you'll be... but I just got here, you're late, you'll be... ","No, no, they love walking... since they love to walk... well, well, I can say that... well... I love walking.... that she love walking! Well, you can call her... “walk walking walking... ”.... I can call herself “walk.... “... ”... “no, “......”... “s calling... “No, ”......... “do Walking......... “...... walking...... ” —... “.........?...... Oh, “....... walking...............”......“.......... for nothing...... for...... For......for......des.............. –...... women......nice...... March...... marches...... march...... because...... she...... is...... sleeping walking... for walking...? Well,...... oh,...... for...... walk...... since......cady...... shopping...... while...... -...... che...... Well...... I......can...... saying...... That...... Can call me...... what......say......Can......that......mine...... So......you can... call...... Cannes......de......sordon...... Desno......but......maybe......play...... then......yes...... Since...... Mother......of......is......now...... why......watch...... cause......sof......to......dodo......so......Well......if......persom......and......from......no...desdesdes...for-......the......not......by......other......thanno...nono...No......Don......No....nothing......or......stop......se......good......while......stin......well......me......I can......some......fa......fe......l......was......my......with......spece......her......it......all......she......lando......then......what......change......s...nomore......one......this......com......minu......un......bet......just......les......ther......let......how......word......sou......said......menu......be I am coming to look for me, you will be late late late, late late — there you go, there you — You’ll be late — late — soon — You will be there — Here — There you — — I will come late late. If I am looking for you, you late late early, you are late late! You — — You — That — So, there it — Here you — It — Well — That time, when I will go late late Tar Tar Tar late, you — When I will be — Later late late... You — There — You Will Be Here — Time late late I — Whenever I — I — If I will find myself — You late late tar late late; You — When late late long — — So late late soon — So — So that — That I — — — Here Here — That... That — That You — I I — Where I — Well I — So I — Wait I — What I — Who I — Oh I — You I — Me I — Then I — Once I — But I — “ I — if I — Even I — Though I — Hey I — Since I — And I — While I — From — I * I — Was late late a late late when — When — You Are late late Too late late? You late — When When I — That late late A late — — When You — You You — Sud late late La late late... You — So So — You Co I — There Here — — That That — — There I — Here I — Now — That Here — You Here — When Well — When If I — She I — Time I — How I — As I — Ah I — God I — Some I — Do I — Ala I — Sorry I — Soo I — Fast late late fast — When... When I I I... When When — If If — If — When when I — Till I — Although I I When I When — I When When When If — I If I I If — — If if I I Where — I... I — Boy I — when I I wait I — ” I — Because I — where I — Sometimes I — Which — When you — If when I When when — I already — If When — When ( When I If If If I Yay I — Of When I... If If When When when when — You When — Where — When Wait I I Who — When Who — I Oi I — Why I — Yes I — In — When Where No, no, no! Let’s walk, let’s go for a walk. Let us walk.",2,seg_0056 + seg_0057,166.96
L04,spk1,gauche,oui moi le souvenir d'avoir vraiment euh enfin mes ouais plus beaux moments je crois que c'est de jouer au ballon dans la rue,yes me the memory of really having well my greatest moments I think it is playing ball games in the street,yes I think my greatest memories are of playing ball games in the street,"Oui, moi, j'ai le souvenir d'avoir vraiment... Enfin, mais oui, mais le plus beau moment, je crois que c'est de jouer au ballon dans la rue.",eun oui moi jei le souvenir davoir vraiment feme mes houe mes plus beaux moment ces de jouer au balon dans la rue,"Yes, I have the memory of having... But yeah, the best moments... I think it's playing  with the ball in the street.","Yes, I have memories of having really... Well, yeah, but the best time, I think, Well, yeah, but the best time, I think, is to play after school, with the ball in the street.","Yes, I have memories of really having a wife. But......but... but more Beau Beautimes, but... but... more beautiful... but worse... but better... but but... worse worse worse...... but...... more beautiful moments......... but but... more more beautiful times... but... but more more warmer... but worst worse worse... but...... more Beau...... ” but...... but less hap hap hap... but — but... bright... more more more... more Beautimes...... But............... but even more more gent... more... but most Beau Beau Beau... but?... but worse worse hap hap............... and... but the more more hap haptimes... but with more more pleasant... but sweet... more hap...... worse worse worst... butBut... more worse worse more...... more... but better hap hap worse...... But... but dar dar... but at more more Beau moments... but really...... better...... faire faire... but ma... but it more more ble worse worse moment... but this... but these... but those more more brighttimestimestimes...... I think it’s to play in the swing in the corner in the street.",3,seg_0066 + seg_0067 + seg_0068,200.54
L05,spk2,gauche,les jeux de ballon c'étaient pas des jeux des petites filles,ball games those were not little girl games right,ball games were not really games for little girls were they,"Les jeux de ballon, ce n'étaient pas des jeux de petite fille, Sire ?",e balence n'était pun dejeu de petite filip si,"The balloon was not a little girl's hair, right?","But the ball games weren't little girls' games, were they?","Ballons weren’t little girls’ games, were they?",1,seg_0075,238.66
L06,spk1,gauche,j'ai une amie là je l'ai connue en première année de maternelle,I have a friend I met her in the first year of preschool,there is one friend I met in the first year of preschool,"j'ai une amie, je l'ai connue en première année de maternelle.",jai une amie je l'ai conu à laur première anide maternele,I have a friend. I met him in my first maternity leave.,"I have a friend, I met her in her first year of high school.","Some of these people, I knew her from matern matern maternal nurse, in my maternal first maternal birth, I saw her maternally, I knew she knew her maternal maternal me, I was with maternal breast breast breast, I met her mother maternal I knew him maternal, I know her I knew my matern materntal I was maternal infant maternal parent, I had known her pater pater maternally I saw me me I knew it matern maternally; I knew myself I knew me maternally maternally: I was a maternal child, I experienced her maternl I knew them maternally. I knew the maternal my materne I was Materal I was my maternnal I was breast breast I was I was born, I thought I knew I was by maternal matern maternality, I recognize her matern maternI I saw my maternAL I I was was matern maternelle I was, I used maternal i I was Marine maternal My matern maternle I was sick matern matern parent I I I saw she knew me me matern maternale I I am matern matern Parent parent parent I was me I I did I I my materntal matern matern I I gave I was accident I I breast I saw I was mari matern maternthal I I wo I I med matern matern breast I I i I my I was na matern matern juridic I I, I my my matern Mother matern matern was I I matern matern my matern I was... I was married I was pregnant I was mother matern materni I I bore I I virgin I I IV I was old I was young I I cal I I ge I was ministeri matern matern pater matern matern matri I I looked I I remember I I told my matern parent parent parent my I I soli I I mar I was kinder matern matern ill I I would I I d I was ma matern matern Mater matern matern mine I I — I I bru I was parent I my was matern I matern I am my matern my my my I matern parent matern maternile I I Breast breast I am am I I III I I received I was at matern maternpal I I nur I I impar I I myself I was pas matern matern brutal I I j I I parent I am was I my parent parent matern I breast breast was I am breast I my breast I matern my I am, I I age I I reproduc I I marine I I took matern matern Na matern matern Pal I I provident I I melan matern maternterna I Iwas I I sexual I I mam I I mother",2,seg_0086 + seg_0087,269.0
L07,spk1,gauche,ouais moi je me dirais jusqu'à sept heures,"yeah me I would say until seven o clock,",yeah I would say until seven o clock,"Oui, moi, je me dirais jusqu'à 7 heures,",oi moi je me dirai jusquà cete heure,"Yes, I would say until 7 o'clock.","Yes, I would say until 7 o'clock, ","Well, I would go until seven, at seven",1,seg_0094,289.28
L08,spk1,gauche,ça c'est quelque chose qui m'a énormément ben marqué,that that is something that really stuck with me,that is something that really stuck with me,"ça, c'est quelque chose qui m'a énormément marquée,",ses quelque chose qui ma énormément va marquer,It's something that really struck me.,"that's something that really struck me, ","This is something, though, still, it still matters to me a lot, even pointed out, maybe, that’s appreciated me a a a huge thing, anyway, I might noticed it.",1,seg_0106,321.66
L09,spk1,gauche,moi je pouvais rentrer quand même à n'importe quelle heure,me I could come back home at any hour,I could come back home at any hour,"Moi, je pouvais rentrer quand même à n'importe quelle heure.",i je pouvais entrer quand même à nimporte quele heure,I could go home at any time.,I could go in at any time.,"Well, maybe I could still have some time at any time. Anytime, anytime, with any time, of any time myself, I could have at any hour.",1,seg_0117,355.18
L10,spk1,gauche,alors moi je sais même plus quand est-ce qu'il est devenu à la mode,well me I do not even know when it became trendy,well I do not even know when it became trendy,"Moi, je ne sais même plus quand est-ce qu'il est devenu à la mode.",je sais même plus quand est-ce quil est devenu à la mode,I don't even know when it became fashionable. ,I don't even know when it became trendy. ,"Well, I even know more about what has become fashionable. ",1,seg_0133,409.26
L11,spk1,gauche,enfin moi le peu que je connais de restos dans le onzième en tous cas des petites restos quoi simples on mange mal,well me the little I know of restaurants in the eleventh in any case the small simple ones the food is bad,well from the little I know of restaurants in the eleventh at least the small simple ones the food is bad,"Enfin, moi, peu que je connais de restos dans le 11e, en tout cas des petits restos simples, on mange mal.",moi le peu que je conais tre restau dans le onzième tout gas des petits restaux quoiçin on mange mal,"I don't know much about restaurants in the 11th. In any case small restaurants, simple, we eat badly.","Well, the few restaurants I know in the 11th, in any case, small restaurants, simple, we eat badly.","I can only know myself, Resta in the 11th in the eleven meme amongst the eleventh. However, there are little small restaurants, what simple, we eat badly.",2,seg_0157 + seg_0158,470.48
