ID,Citation contexte (FR),Speaker,Type,n_segs,segments,audio_start_s,Référence trad. CALQUE (EN),Référence trad. IDIOMATIC (EN),whisper_en_per_seg,whisper_en_cont,xlsr_en,bleu_whisper_per_seg_calque,chrf_whisper_per_seg_calque,ter_whisper_per_seg_calque,bleu_whisper_per_seg_idiomatic,chrf_whisper_per_seg_idiomatic,ter_whisper_per_seg_idiomatic,bleu_whisper_cont_calque,chrf_whisper_cont_calque,ter_whisper_cont_calque,bleu_whisper_cont_idiomatic,chrf_whisper_cont_idiomatic,ter_whisper_cont_idiomatic,bleu_xlsr_calque,chrf_xlsr_calque,ter_xlsr_calque,bleu_xlsr_idiomatic,chrf_xlsr_idiomatic,ter_xlsr_idiomatic,comet_whisper_per_seg_calque,comet_whisper_per_seg_idiomatic,comet_whisper_cont_calque,comet_whisper_cont_idiomatic,comet_xlsr_calque,comet_xlsr_idiomatic
L01,moi ma voiture elle est garée dans la rue,spk1,gauche,1,seg_0007,14.68,me my car it is parked in the street,my car is parked in the street,My car is parked in the street.,my car is parked in the street,"my car, my car and the street’s cars and the road’s in the street.",52.4736,75.1112,33.3333,84.0896,94.4356,14.2857,53.1375,79.7869,22.2222,100.0,100.0,0.0,11.4471,40.1191,111.1111,11.4471,43.0582,142.8571,0.8214,0.9439,0.8571,0.9745,0.4763,0.4239
L02,le deux-roues ça ne vous déplairait pas,spk2,gauche,1,seg_0047,138.62,a two-wheeler that would not displease you,would you not mind a two-wheeler,You won't dislike the two roads.,"And the two routes, you won't dislike?",The two roads will not displease you.,6.5673,17.3264,100.0,6.5673,15.6002,100.0,4.7677,19.7234,100.0,4.7677,19.3156,116.6667,20.5567,45.9813,71.4286,6.5673,20.1026,116.6667,0.5046,0.4828,0.4506,0.4599,0.6141,0.4957
L03,puisque moi voilà je peux me dire mais je viens te chercher,spk1,gauche,2,seg_0056 + seg_0057,166.96,because me I can say to myself but I will come pick you up,because I can say to myself but I will come pick you up,Because I can tell myself...,"Because I can tell myself, but I just got here, you're late, you'll be... but I just got here, you're late, you'll be...","No, no, they love walking... since they love to walk... well, well, I can say that... well... I love walking.... that she love walking! Well, you can call her... “walk walking walking... ”.... I can call herself “walk.... “... ”... “no, “......”... “s calling... “No, ”......... “do Walking......... “...... walking...... ” —... “.........?...... Oh, “....... walking...............”......“.......... for nothing...... for...... For......for......des.............. –...... women......nice...... March...... marches...... march...... because...... she...... is...... sleeping walking... for walking...? Well,...... oh,...... for...... walk...... since......cady...... shopping...... while...... -...... che...... Well...... I......can...... saying...... That...... Can call me...... what......say......Can......that......mine...... So......you can... call...... Cannes......de......sordon...... Desno......but......maybe......play...... then......yes...... Since...... Mother......of......is......now...... why......watch...... cause......sof......to......dodo......so......Well......if......persom......and......from......no...desdesdes...for-......the......not......by......other......thanno...nono...No......Don......No....nothing......or......stop......se......good......while......stin......well......me......I can......some......fa......fe......l......was......my......with......spece......her......it......all......she......lando......then......what......change......s...nomore......one......this......com......minu......un......bet......just......les......ther......let......how......word......sou......said......menu......be I am coming to look for me, you will be late late late, late late — there you go, there you — You’ll be late — late — soon — You will be there — Here — There you — — I will come late late. If I am looking for you, you late late early, you are late late! You — — You — That — So, there it — Here you — It — Well — That time, when I will go late late Tar Tar Tar late, you — When I will be — Later late late... You — There — You Will Be Here — Time late late I — Whenever I — I — If I will find myself — You late late tar late late; You — When late late long — — So late late soon — So — So that — That I — — — Here Here — That... That — That You — I I — Where I — Well I — So I — Wait I — What I — Who I — Oh I — You I — Me I — Then I — Once I — But I — “ I — if I — Even I — Though I — Hey I — Since I — And I — While I — From — I * I — Was late late a late late when — When — You Are late late Too late late? You late — When When I — That late late A late — — When You — You You — Sud late late La late late... You — So So — You Co I — There Here — — That That — — There I — Here I — Now — That Here — You Here — When Well — When If I — She I — Time I — How I — As I — Ah I — God I — Some I — Do I — Ala I — Sorry I — Soo I — Fast late late fast — When... When I I I... When When — If If — If — When when I — Till I — Although I I When I When — I When When When If — I If I I If — — If if I I Where — I... I — Boy I — when I I wait I — ” I — Because I — where I — Sometimes I — Which — When you — If when I When when — I already — If When — When ( When I If If If I Yay I — Of When I... If If When When when when — You When — Where — When Wait I I Who — When Who — I Oi I — Why I — Yes I — In — When Where No, no, no! Let’s walk, let’s go for a walk. Let us walk.",6.2043,25.9021,78.5714,11.8237,31.7444,76.9231,3.4072,26.3824,135.7143,5.3325,30.211,138.4615,0.1843,4.2656,4228.5714,0.1803,4.2777,4553.8462,0.4947,0.5142,0.4683,0.468,0.3952,0.3838
L04,oui moi le souvenir d'avoir vraiment euh enfin mes ouais plus beaux moments je crois que c'est de jouer au ballon dans la rue,spk1,gauche,3,seg_0066 + seg_0067 + seg_0068,200.54,yes me the memory of really having well my greatest moments I think it is playing ball games in the street,yes I think my greatest memories are of playing ball games in the street,"Yes, I have the memory of having... But yeah, the best moments... I think it's playing  with the ball in the street.","Yes, I have memories of having really... Well, yeah, but the best time, I think, Well, yeah, but the best time, I think, is to play after school, with the ball in the street.","Yes, I have memories of really having a wife. But......but... but more Beau Beautimes, but... but... more beautiful... but worse... but better... but but... worse worse worse...... but...... more beautiful moments......... but but... more more beautiful times... but... but more more warmer... but worst worse worse... but...... more Beau...... ” but...... but less hap hap hap... but — but... bright... more more more... more Beautimes...... But............... but even more more gent... more... but most Beau Beau Beau... but?... but worse worse hap hap............... and... but the more more hap haptimes... but with more more pleasant... but sweet... more hap...... worse worse worst... butBut... more worse worse more...... more... but better hap hap worse...... But... but dar dar... but at more more Beau moments... but really...... better...... faire faire... but ma... but it more more ble worse worse moment... but this... but these... but those more more brighttimestimestimes...... I think it’s to play in the swing in the corner in the street.",9.632,51.9599,71.4286,6.5024,40.8636,121.4286,4.5204,37.3183,138.0952,4.1234,37.693,221.4286,0.7182,19.2735,733.3333,0.4803,13.1098,1121.4286,0.7255,0.6813,0.5711,0.5598,0.3318,0.2858
L05,les jeux de ballon c'étaient pas des jeux des petites filles,spk2,gauche,1,seg_0075,238.66,ball games those were not little girl games right,ball games were not really games for little girls were they,"The balloon was not a little girl's hair, right?","But the ball games weren't little girls' games, were they?","Ballons weren’t little girls’ games, were they?",4.9324,36.122,88.8889,4.4569,27.7277,81.8182,8.5166,52.378,88.8889,10.6003,60.4359,81.8182,6.2747,40.6907,88.8889,9.08,46.8718,90.9091,0.4966,0.4331,0.7939,0.8146,0.6946,0.7181
L06,j'ai une amie là je l'ai connue en première année de maternelle,spk1,gauche,2,seg_0086 + seg_0087,269.0,I have a friend I met her in the first year of preschool,there is one friend I met in the first year of preschool,I have a friend. I met him in my first maternity leave.,"I have a friend, I met her in her first year of high school.","Some of these people, I knew her from matern matern maternal nurse, in my maternal first maternal birth, I saw her maternally, I knew she knew her maternal maternal me, I was with maternal breast breast breast, I met her mother maternal I knew him maternal, I know her I knew my matern materntal I was maternal infant maternal parent, I had known her pater pater maternally I saw me me I knew it matern maternally; I knew myself I knew me maternally maternally: I was a maternal child, I experienced her maternl I knew them maternally. I knew the maternal my materne I was Materal I was my maternnal I was breast breast I was I was born, I thought I knew I was by maternal matern maternality, I recognize her matern maternI I saw my maternAL I I was was matern maternelle I was, I used maternal i I was Marine maternal My matern maternle I was sick matern matern parent I I I saw she knew me me matern maternale I I am matern matern Parent parent parent I was me I I did I I my materntal matern matern I I gave I was accident I I breast I saw I was mari matern maternthal I I wo I I med matern matern breast I I i I my I was na matern matern juridic I I, I my my matern Mother matern matern was I I matern matern my matern I was... I was married I was pregnant I was mother matern materni I I bore I I virgin I I IV I was old I was young I I cal I I ge I was ministeri matern matern pater matern matern matri I I looked I I remember I I told my matern parent parent parent my I I soli I I mar I was kinder matern matern ill I I would I I d I was ma matern matern Mater matern matern mine I I — I I bru I was parent I my was matern I matern I am my matern my my my I matern parent matern maternile I I Breast breast I am am I I III I I received I was at matern maternpal I I nur I I impar I I myself I was pas matern matern brutal I I j I I parent I am was I my parent parent matern I breast breast was I am breast I my breast I matern my I am, I I age I I reproduc I I marine I I took matern matern Na matern matern Pal I I provident I I melan matern maternterna I Iwas I I sexual I I mam I I mother",22.7187,39.8278,46.1538,7.1418,25.5428,75.0,37.6747,67.4614,30.7692,12.4516,46.176,66.6667,0.365,5.1436,3469.2308,0.1961,4.5789,3775.0,0.5774,0.5455,0.8528,0.7531,0.3146,0.292
L07,ouais moi je me dirais jusqu'à sept heures,spk1,gauche,1,seg_0094,289.28,"yeah me I would say until seven o clock,",yeah I would say until seven o clock,"Yes, I would say until 7 o'clock.","Yes, I would say until 7 o'clock,","Well, I would go until seven, at seven",28.241,50.7292,55.5556,29.8475,54.757,50.0,28.241,53.713,55.5556,29.8475,54.757,50.0,12.5493,40.6562,66.6667,11.8684,43.081,62.5,0.8519,0.8741,0.8744,0.8783,0.7068,0.6909
L08,ça c'est quelque chose qui m'a énormément ben marqué,spk1,gauche,1,seg_0106,321.66,that that is something that really stuck with me,that is something that really stuck with me,It's something that really struck me.,"that's something that really struck me,","This is something, though, still, it still matters to me a lot, even pointed out, maybe, that’s appreciated me a a a huge thing, anyway, I might noticed it.",19.7406,58.614,66.6667,22.7721,64.3278,62.5,19.7406,61.9526,66.6667,22.7721,67.9056,62.5,2.145,29.6687,311.1111,2.145,29.2964,337.5,0.7965,0.8343,0.845,0.87,0.49,0.4905
L09,moi je pouvais rentrer quand même à n'importe quelle heure,spk1,gauche,1,seg_0117,355.18,me I could come back home at any hour,I could come back home at any hour,I could go home at any time.,I could go in at any time.,"Well, maybe I could still have some time at any time. Anytime, anytime, with any time, of any time myself, I could have at any hour.",22.8114,41.534,44.4444,25.8487,44.3055,37.5,13.7843,25.9211,55.5556,15.6197,27.6461,50.0,5.2569,35.9026,244.4444,5.2569,34.0458,275.0,0.8848,0.9098,0.7826,0.7842,0.5006,0.4777
L10,alors moi je sais même plus quand est-ce qu'il est devenu à la mode,spk1,gauche,1,seg_0133,409.26,well me I do not even know when it became trendy,well I do not even know when it became trendy,I don't even know when it became fashionable.,I don't even know when it became trendy.,"Well, I even know more about what has become fashionable.",37.4055,58.2636,45.4545,41.8013,61.0,40.0,48.8829,75.5771,45.4545,54.6276,79.2484,40.0,8.0545,27.9521,81.8182,8.0545,28.7241,80.0,0.8399,0.8975,0.8783,0.9262,0.5584,0.592
